15/05/2025 02:55|Transferencia a 7654|-234.0|2345
15/05/2025 02:55|Transferencia de 2345|234.0|7654
15/05/2025 02:55|Transferencia a 6789|-54.0|7654
15/05/2025 02:55|Transferencia de 7654|54.0|6789
15/05/2025 03:05|Transferencia a 345|-87.0|2345
15/05/2025 03:05|Transferencia de 2345|87.0|345
15/05/2025 03:10|Transferencia a 6789|-1000.0|1234
15/05/2025 03:10|Transferencia de 1234|1000.0|6789
15/05/2025 15:10|Transferencia a 1234|-1500.0|2320
15/05/2025 15:10|Transferencia de 2320|1500.0|1234
15/05/2025 15:48|Transferencia a 345|-15.0|2320
15/05/2025 15:48|Transferencia de 2320|15.0|345
